cell,Donor,Region,MajorType
HBA_200622_H1930001_A46_1_P5-1-A9-A14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-D2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-E1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-E2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-H2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-I13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-I2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-J1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-J2,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-L1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-M1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-M13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-N14,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-O1,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P5-1-A9-P13,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-B15,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-D4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-F3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-G3,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-G4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-I15,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-J16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-J4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-K4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-M4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-N16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-N4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-O16,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P4-2-C12-O4,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-6-K3-A12,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-6-K3-B11,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-6-K3-B12,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-6-K3-K23,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-6-K3-L11,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-6-K3-L12,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P9-6-K3-N23,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-3-D19-A18,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-3-D19-B17,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-3-D19-B6,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-3-D19-C6,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-3-D19-F17,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-3-D19-H18,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-3-D19-H5,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-3-D19-I18,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-3-D19-I6,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-3-D19-J5,h1930001,A46,L2/3 IT
HBA_200622_H1930001_A46_1_P3-3-D19-K5,h1930001,A46,L2/3 IT
